,date,iv,BS
121,2018-06-26,0.046967180227647946,0.12427
122,2018-06-27,0.028859283878892,0.1516
123,2018-06-28,0.02881092027373787,0.132666
124,2018-06-29,0.028910995926328346,0.126301
125,2018-07-02,0.04936176355628134,0.120253
126,2018-07-03,0.044478575972714,0.121415
127,2018-07-05,0.027283243016824024,0.114985
128,2018-07-06,0.04145570617626371,0.101311
129,2018-07-09,0.036973871318668056,0.084771
130,2018-07-10,0.024574067905938832,0.090315
131,2018-07-11,0.026994813152075817,0.103922
132,2018-07-12,0.023333283206952188,0.093397
133,2018-07-13,0.031079033248923155,0.087697
134,2018-07-16,0.030400586118328677,0.091087
135,2018-07-17,0.030336399575007812,0.086809
136,2018-07-18,0.052780401780452964,0.089165
137,2018-07-19,0.04579100358271412,0.092206
138,2018-07-20,0.017326078240378566,0.092181
139,2018-07-23,0.03720265089866305,0.091588
140,2018-07-24,0.034118608669555586,0.094724
141,2018-07-25,0.024924063015567533,0.087591
142,2018-07-26,0.02551838981560976,0.092129
143,2018-07-27,0.03699059512680911,0.097092
144,2018-07-30,0.03803447065037697,0.102694
145,2018-07-31,0.03784173438985638,0.10223
146,2018-08-01,0.034022338379616275,0.097663
147,2018-08-02,0.02920790107607806,0.089865
148,2018-08-03,0.025262799274843106,0.083647
149,2018-08-06,0.05194254001544072,0.079109
150,2018-08-07,0.046593391457629,0.07608
151,2018-08-08,0.03324311955568834,0.083284
152,2018-08-09,0.03258014283231935,0.084006
153,2018-08-10,0.028460922288893038,0.094343
154,2018-08-13,0.022218066981679302,0.104726
155,2018-08-14,0.02271507093499187,0.092829
156,2018-08-15,0.03820877732822173,0.108877
157,2018-08-16,0.03449502494851237,0.095459
158,2018-08-17,0.039013299036406816,0.088273
159,2018-08-20,0.033471383619020204,0.087524
160,2018-08-21,0.03487927211177682,0.092549
161,2018-08-22,0.41332589080363824,0.088059
162,2018-08-23,0.41055061925833475,0.083738
163,2018-08-24,0.06065569452534855,0.080374
164,2018-08-27,0.1973790473139277,0.080425
165,2018-08-28,0.1973228717926206,0.079971
166,2018-08-29,0.5593509005711467,0.08485
167,2018-08-30,0.5544072588481345,0.090716
168,2018-08-31,0.025697885491688065,0.085401
169,2018-09-04,0.026715929278338203,0.089773
170,2018-09-05,0.05732829113413257,0.097387
171,2018-09-06,0.057998652686594966,0.101787
172,2018-09-07,0.05333048714808882,0.098221
173,2018-09-10,0.05703000584825272,0.096553
174,2018-09-11,0.05933398261499681,0.091574
175,2018-09-12,0.039332432485174124,0.090486
176,2018-09-13,0.043129032937737226,0.079612
177,2018-09-14,0.24567653999049846,0.080474
178,2018-09-17,0.02664786875116445,0.088765
179,2018-09-18,0.031368868390260624,0.088175
180,2018-09-19,0.46079972463604424,0.08554
181,2018-09-20,0.46924564318091666,0.080827
182,2018-09-21,0.06449866209303418,0.082511
183,2018-09-24,0.030149380931762,0.094218
184,2018-09-25,0.029477465661315358,0.088761
185,2018-09-26,0.024535431566994143,0.094739
186,2018-09-27,0.024676979297418956,0.095778
187,2018-09-28,0.024761229944326838,0.084971
188,2018-10-01,0.03780545411204549,0.087656
189,2018-10-02,0.03942454967924664,0.088883
190,2018-10-03,0.03329115511837921,0.08992
191,2018-10-04,0.03603882368311197,0.109477
192,2018-10-05,0.02738061309119634,0.11442
193,2018-10-08,0.047870643295395476,0.118356
194,2018-10-09,0.036265343085714954,0.133438
195,2018-10-10,0.026743105787184095,0.188922
196,2018-10-11,0.04265676462244176,0.228243
197,2018-10-12,0.04110652116598361,0.186142
198,2018-10-15,0.05041013790809798,0.189857
199,2018-10-16,0.044191641955088665,0.146407
200,2018-10-17,0.05836396126050384,0.144227
201,2018-10-18,0.05720198259227541,0.164517
202,2018-10-19,0.04878062141083409,0.164789
203,2018-10-22,0.04167686981371254,0.171204
204,2018-10-23,0.0428523191108462,0.171945
205,2018-10-24,0.04723017846234734,0.212852
206,2018-10-25,0.02561670309017142,0.201127
207,2018-10-26,0.05422799838887882,0.201883
208,2018-10-29,0.052704380470597896,0.203878
209,2018-10-30,0.055528357110505806,0.20498
210,2018-10-31,0.05451795132640893,0.191529
211,2018-11-01,0.047101514826113584,0.164438
212,2018-11-02,0.04311696097878412,0.163029
213,2018-11-05,0.04382601268652554,0.174955
214,2018-11-06,0.051312524788727366,0.168933
215,2018-11-07,0.036757175785606604,0.139001
216,2018-11-08,0.03575823816634515,0.136053
217,2018-11-09,0.03703950048979602,0.148474
218,2018-11-12,0.039149349907128615,0.169252
219,2018-11-13,0.04231771461619873,0.175571
220,2018-11-14,0.055195956696930094,0.186106
221,2018-11-15,0.049315463385787475,0.164923
222,2018-11-16,0.042654976774239926,0.15868
223,2018-11-19,0.046113568749253084,0.179471
224,2018-11-20,0.04403699180107222,0.205158
225,2018-11-21,0.4861333786323683,0.187949
226,2018-11-23,0.2192621619711977,0.183668
227,2018-11-26,0.053620137415437946,0.162324
228,2018-11-27,0.07064857742816223,0.164006
229,2018-11-28,0.1062100814450954,0.159476
230,2018-11-29,0.10457842644079943,0.16616
231,2018-11-30,0.4189797958289081,0.165855
232,2018-12-03,0.05142810791426319,0.135644
233,2018-12-04,0.03340068076542001,0.18339
234,2018-12-06,0.09068737581696582,0.179753
235,2018-12-07,0.07166930351598522,0.204657
236,2018-12-10,0.07341417101557009,0.204433
237,2018-12-11,0.07135024920639346,0.191544
238,2018-12-12,0.07831444285215626,0.197014
239,2018-12-13,0.07535311015045872,0.182395
240,2018-12-14,0.05884092646521651,0.189506
241,2018-12-17,0.034870135791264446,0.210202
242,2018-12-18,0.03590658068236752,0.22637
243,2018-12-19,0.39126786842766614,0.225438
244,2018-12-20,0.37029187188286683,0.240232
245,2018-12-21,0.3493547784221251,0.2724
246,2018-12-24,0.06656183373329683,0.322811
247,2018-12-26,0.07319311483344225,0.258128
248,2018-12-27,0.0775198777504354,0.259163
