date,gross_stock_trades,gross_option_trades,gross_trades_value,stock_trading_costs,option_trading_costs,net_trading_costs,stock_pos_value,option_pos_value,gross_pos_value,stock_PL,option_PL,net_PL,start_cash,initial_kapital,short_fee,initial_cash,interest,lever_cash,leverage_fee,end_kapital,net_short_fees,net_interest_paid,net_interest_earned,net_pos_value,tot_cash
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,1000000.0,29.584646155100813,0.0,0.0,1000029.5846461551,0.0,29.584646155100813,0.0,1000029.5846461551,9999970.415353846
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000029.5846461551,1000029.5846461551,0.0,1000029.5846461551,30.55739322337817,0.0,0.0,1000060.1420393785,0.0,60.142039378478984,0.0,1000060.1420393785,9999939.85796062
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000060.1420393785,1000060.1420393785,0.0,1000060.1420393785,33.7565870869364,0.0,0.0,1000093.8986264655,0.0,93.89862646541539,0.0,1000093.8986264655,9999906.101373535
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000093.8986264655,1000093.8986264655,0.0,1000093.8986264655,34.03502653034299,0.0,0.0,1000127.9336529959,0.0,127.93365299575838,0.0,1000127.9336529959,9999872.066347005
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000127.9336529959,1000127.9336529959,0.0,1000127.9336529959,34.17337294023692,0.0,0.0,1000162.1070259361,0.0,162.1070259359953,0.0,1000162.1070259361,9999837.892974064
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000162.1070259361,1000162.1070259361,0.0,1000162.1070259361,34.86858568812262,0.0,0.0,1000196.9756116243,0.0,196.9756116241179,0.0,1000196.9756116243,9999803.024388377
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000196.9756116243,1000196.9756116243,0.0,1000196.9756116243,34.73026756301462,0.0,0.0,1000231.7058791873,0.0,231.70587918713252,0.0,1000231.7058791873,9999768.294120813
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000231.7058791873,1000231.7058791873,0.0,1000231.7058791873,35.42989232808325,0.0,0.0,1000267.1357715154,0.0,267.13577151521577,0.0,1000267.1357715154,9999732.864228485
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000267.1357715154,1000267.1357715154,0.0,1000267.1357715154,35.56948027124173,0.0,0.0,1000302.7052517866,0.0,302.7052517864575,0.0,1000302.7052517866,9999697.294748213
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000302.7052517866,1000302.7052517866,0.0,1000302.7052517866,35.56821539115764,0.0,0.0,1000338.2734671778,0.0,338.27346717761515,0.0,1000338.2734671778,9999661.726532822
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000338.2734671778,1000338.2734671778,0.0,1000338.2734671778,35.01306502871397,0.0,0.0,1000373.2865322065,0.0,373.2865322063291,0.0,1000373.2865322065,9999626.713467794
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000373.2865322065,1000373.2865322065,0.0,1000373.2865322065,33.489200933188,0.0,0.0,1000406.7757331396,0.0,406.7757331395171,0.0,1000406.7757331396,9999593.22426686
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000406.7757331396,1000406.7757331396,0.0,1000406.7757331396,34.32363155973841,0.0,0.0,1000441.0993646993,0.0,441.09936469925555,0.0,1000441.0993646993,9999558.9006353
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000441.0993646993,1000441.0993646993,0.0,1000441.0993646993,34.045104392541205,0.0,0.0,1000475.1444690919,0.0,475.14446909179674,0.0,1000475.1444690919,9999524.855530908
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000475.1444690919,1000475.1444690919,0.0,1000475.1444690919,34.46259110970825,0.0,0.0,1000509.6070602016,0.0,509.60706020150496,0.0,1000509.6070602016,9999490.392939799
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000509.6070602016,1000509.6070602016,0.0,1000509.6070602016,34.741123198576865,0.0,0.0,1000544.3481834001,0.0,544.3481834000818,0.0,1000544.3481834001,9999455.6518166
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000544.3481834001,1000544.3481834001,0.0,1000544.3481834001,33.3559258773915,0.0,0.0,1000577.7041092775,0.0,577.7041092774733,0.0,1000577.7041092775,9999422.295890722
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000577.7041092775,1000577.7041092775,0.0,1000577.7041092775,34.32949605680897,0.0,0.0,1000612.0336053342,0.0,612.0336053342822,0.0,1000612.0336053342,9999387.966394667
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000612.0336053342,1000612.0336053342,0.0,1000612.0336053342,34.60689316645482,0.0,0.0,1000646.6404985007,0.0,646.6404985007371,0.0,1000646.6404985007,9999353.3595015
2018-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000646.6404985007,1000646.6404985007,0.0,1000646.6404985007,34.051519570455035,0.0,0.0,1000680.6920180711,0.0,680.6920180711921,0.0,1000680.6920180711,9999319.307981929
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000680.6920180711,1000680.6920180711,0.0,1000680.6920180711,32.24519464144614,0.0,0.0,1000712.9372127125,0.0,712.9372127126383,0.0,1000712.9372127125,9999287.062787287
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000712.9372127125,1000712.9372127125,0.0,1000712.9372127125,33.63959653220072,0.0,0.0,1000746.5768092447,0.0,746.576809244839,0.0,1000746.5768092447,9999253.423190756
2018-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000746.5768092447,1000746.5768092447,0.0,1000746.5768092447,32.527963902515246,0.0,0.0,1000779.1047731473,0.0,779.1047731473542,0.0,1000779.1047731473,9999220.895226853
2018-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000779.1047731473,1000779.1047731473,0.0,1000779.1047731473,33.500543288292114,0.0,0.0,1000812.6053164356,0.0,812.6053164356463,0.0,1000812.6053164356,9999187.394683564
2018-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000812.6053164356,1000812.6053164356,0.0,1000812.6053164356,34.1961832444209,0.0,0.0,1000846.80149968,0.0,846.8014996800672,0.0,1000846.80149968,9999153.19850032
2018-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000846.80149968,1000846.80149968,0.0,1000846.80149968,33.08464067513109,0.0,0.0,1000879.8861403551,0.0,879.8861403551983,0.0,1000879.8861403551,9999120.113859644
2018-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000879.8861403551,1000879.8861403551,0.0,1000879.8861403551,30.725224551148468,0.0,0.0,1000910.6113649063,0.0,910.6113649063468,0.0,1000910.6113649063,9999089.388635093
2018-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000910.6113649063,1000910.6113649063,0.0,1000910.6113649063,30.03047161920918,0.0,0.0,1000940.6418365255,0.0,940.641836525556,0.0,1000940.6418365255,9999059.358163474
2018-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000940.6418365255,1000940.6418365255,0.0,1000940.6418365255,33.2278745127137,0.0,0.0,1000973.8697110382,0.0,973.8697110382697,0.0,1000973.8697110382,9999026.130288962
2018-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000973.8697110382,1000973.8697110382,0.0,1000973.8697110382,30.72575150684484,0.0,0.0,1001004.595462545,0.0,1004.5954625451145,0.0,1001004.595462545,9998995.404537454
2018-02-14,43466.37312599986,63228.0,106694.37312599986,4.346637312599986,6.3228,10.669437312599987,43466.37312599986,62700.0,106166.37312599986,-4.346637312599986,-6.3228,-10.669437312599987,1001004.595462545,1000993.9260252324,0.0,894299.5528992326,28.817247480651158,0.0,0.0,1001022.743272713,0.0,1033.4127100257656,0.0,1000494.743272713,9892261.54472666
2018-02-15,441869.895396,67031.99999999999,508901.895396,44.186989539600006,6.703199999999999,50.8901895396,-397848.88625400024,132870.0,-264978.88625400024,-48.533626852199994,-13.026,-61.55962685219999,1001022.743272713,1000956.5624937853,15.290589388082672,1269100.0847637854,40.19326065723693,0.0,0.0,1000996.7557544425,15.290589388082672,1073.6059706830026,0.0,1004161.3917704425,10267008.356672464
2018-02-16,4930.564073999942,0.0,4930.564073999942,0.4930564073999942,0.0,0.4930564073999942,-402896.02327200014,130176.0,-272720.02327200014,-49.02668325959999,-13.026,-62.05268325959999,1000996.7557544425,1000979.5500010266,16.712697008485208,1274053.6363450268,44.24335043528879,0.0,0.0,1001023.7933514619,32.00328639656788,1117.8493211182913,0.0,1001377.8564234619,10271894.184339622
2018-02-20,478686.74376000016,0.0,478686.74376000016,47.868674376000016,0.0,47.868674376000016,78313.33847999998,124140.0,202453.33847999998,-96.8953576356,-13.026,-109.9213576356,1001023.7933514619,1000975.9246770858,0.0,795363.2672610858,27.839175919392435,0.0,0.0,1001003.7638530052,32.00328639656788,1145.6884970376836,0.0,997844.4449170053,9793131.732729325
2018-02-21,393647.51018999994,0.0,393647.51018999994,39.364751018999996,0.0,39.364751018999996,471571.30185,122802.0,594373.3018499999,-136.2601086546,-13.026,-149.2861086546,1001003.7638530052,1000964.3991019862,0.0,401704.2314959861,13.948547917293482,0.0,0.0,1000978.3476499035,32.00328639656788,1159.6370449549772,0.0,996091.4818939033,9399430.909240391
2018-02-22,59333.114880000074,0.0,59333.114880000074,5.933311488000007,0.0,5.933311488000007,412849.36991999985,112710.0,525559.3699199999,-142.19342014260002,-13.026,-155.21942014260003,1000978.3476499035,1000972.4143384155,0.0,461045.3616124155,14.409468790318405,0.0,0.0,1000986.8238072058,32.00328639656788,1174.0465137452957,0.0,986619.1410012057,9458743.681340111
2018-02-23,1426092.8476859997,0.0,1426092.8476859997,142.60928476859996,0.0,142.60928476859996,-1006662.927528,107502.0,-899160.927528,-284.80270491119995,-13.026,-297.8287049112,1000986.8238072058,1000805.8047927006,38.40972973660698,1886971.5997527004,59.236449832618554,0.0,0.0,1000865.0412425331,70.41301613317486,1233.2829635779142,0.0,987869.908674533,10884634.683291512
2018-02-26,971637.16566,0.0,971637.16566,97.163716566,0.0,97.163716566,-1989989.71038,124302.0,-1865687.71038,-381.96642147719996,-13.026,-394.9924214772,1000865.0412425331,1000691.3999177845,76.47760818253262,2858494.360537784,90.52472137672817,0.0,0.0,1000781.9246391612,146.8906243157075,1323.8076849546424,0.0,992897.1748791607,11856084.160513567
2018-02-27,1116417.519646,55327.0,1171744.519646,111.64175196459999,5.5327,117.1744519646,-848724.1724000003,167951.0,-680773.1724000003,-493.6081734418,-18.5587,-512.1668734418,1000781.9246391612,1000632.8387565769,31.911430619821104,1686691.279730577,52.00871986826149,0.0,0.0,1000684.8474764451,178.8020549355286,1375.816404822904,0.0,1005970.1160504448,10684170.457695736
2018-02-28,1311595.57941,53335.99999999999,1364931.57941,131.159557941,5.3336,136.49315794100002,471469.05740999995,207036.0,678505.0574099999,-624.7677313828,-23.892300000000002,-648.6600313828001,1000684.8474764451,1000548.3543185041,0.0,321675.215882504,9.65054599282774,0.0,0.0,1000558.0048644969,178.8020549355286,1385.4669508157317,0.0,1000189.9238384967,9319092.734581802
2018-03-01,2308423.5191800003,48700.0,2357123.5191800003,230.84235191800005,4.87,235.71235191800005,2773037.0537599996,273879.0,3046916.0537599996,-855.6100833008,-28.762300000000003,-884.3723833008002,1000558.0048644969,1000322.2925125789,0.0,0.0,0.0,2035674.3651034213,82.46906927175569,1000239.8234433072,178.8020549355286,1385.4669508157317,82.46906927175569,1011159.2195873065,6961815.9721191535
2018-03-02,610896.5485560001,0.0,610896.5485560001,61.08965485560002,0.0,61.08965485560002,2176435.5785479997,242955.0,2419390.5785479997,-916.6997381564,-28.762300000000003,-945.4620381564001,1000239.8234433072,1000178.7337884516,0.0,0.0,0.0,1424921.3752715485,57.133087814800255,1000121.6007006369,178.8020549355286,1385.4669508157317,139.60215708655593,994412.0701886364,7572708.564108113
2018-03-05,2329446.93135,0.0,2329446.93135,232.94469313500002,0.0,232.94469313500002,-127856.32586100005,226388.0,98531.67413899995,-1149.6444312914,-28.762300000000003,-1178.4067312914,1000121.6007006369,999883.3880102687,5.267997233185199,904230.2103002686,31.147853008287246,0.0,0.0,999914.5358632769,184.0700521687138,1416.614803824019,139.60215708655593,1002793.0322922769,9901891.40291197
2018-03-06,616715.6765759999,0.0,616715.6765759999,61.671567657599994,0.0,61.671567657599994,-744896.1174480001,218424.0,-526472.1174480001,-1211.315998949,-28.762300000000003,-1240.078298949,999914.5358632769,999822.4828147391,30.381480880250287,1520884.981680739,51.75497785343379,0.0,0.0,999874.2377925925,214.45153304896408,1468.3697816774527,139.60215708655593,994464.6192105921,10518493.65294246
2018-03-07,649012.6060619999,39600.0,688612.6060619999,64.9012606062,3.9600000000000004,68.86126060619999,-95610.53567599994,170010.0,74399.46432400006,20931.806534444702,-23660.722299999998,-2728.915765555298,999874.2377925925,998381.4610483284,3.939277657801393,911451.3300583283,31.395516099154595,0.0,0.0,998412.8565644276,218.39081070676548,1499.7652977766072,139.60215708655593,985882.1898984276,9908980.790103754
2018-03-08,770346.2911100002,35280.0,805626.2911100002,77.03462911100003,3.528,80.56262911100002,-866419.4923300002,128282.0,-738137.4923300002,49553.88536133361,-55416.250299999985,-5862.364938666382,998412.8565644276,995240.5847479128,38.8226434036821,1716989.631411913,65.3509425510601,0.0,0.0,995305.9356904639,257.21345411044757,1565.1162403276674,139.60215708655593,978917.4900244639,10714461.16764209
2018-03-09,2073699.35073,0.0,2073699.35073,207.36993507300002,0.0,207.36993507300002,-2955196.628461,152695.0,-2802501.628461,49346.51542626061,-55416.250299999985,-6069.734873739382,995305.9356904639,994968.6083052559,129.9574501349805,3790417.0056992564,141.10612766214146,0.0,0.0,995109.714432918,387.17090424542806,1706.2223679898088,139.60215708655593,988056.4833659185,12787812.042309359
2018-03-12,444833.37175199983,0.0,444833.37175199983,44.483337175199985,0.0,44.483337175199985,-2506654.292604,154213.0,-2352441.292604,49302.032089085405,-55416.250299999985,-6114.218210914582,995109.714432918,994953.6145215534,111.61657418943598,3345568.640163554,126.3976987932708,0.0,0.0,995080.0122203467,498.78747843486406,1832.6200667830797,139.60215708655593,993253.7452583476,12342807.789521389
2018-03-13,469213.7097360003,0.0,469213.7097360003,46.92137097360003,0.0,46.92137097360003,-2021240.7490080001,130078.0,-1891162.7490080001,49255.110718111806,-55416.250299999985,-6161.139581888183,995080.0122203467,994945.0507544418,88.04009493132973,2876346.3666604417,105.87137101094999,0.0,0.0,995050.9221254527,586.8275733661937,1938.4914377940297,139.60215708655593,985289.4890234524,11873441.287043402
2018-03-14,534228.1843,0.0,534228.1843,53.42281843,0.0,53.42281843,-1476640.48512,114618.0,-1362022.48512,49201.687899681805,-55416.250299999985,-6214.562400318183,995050.9221254527,994930.9309958762,66.56831114646766,2342104.0626018764,89.78409744900019,0.0,0.0,995020.7150933252,653.3958845126614,2028.27553524303,139.60215708655593,980171.3615793253,11339069.895827524
2018-03-15,126064.48249999978,0.0,126064.48249999978,12.606448249999978,0.0,12.606448249999978,-1348966.8775000002,104763.0,-1244203.8775000002,49189.081451431804,-55416.250299999985,-6227.1688485681825,995020.7150933252,994948.2248129213,59.883832153986056,2216056.8739189217,83.42247863837873,0.0,0.0,995031.6472915596,713.2797166666475,2111.6980138814088,139.60215708655593,971936.4188975596,11212909.384400636
2018-03-16,45079.16549999978,0.0,45079.16549999978,4.507916549999978,0.0,4.507916549999978,-1390121.77572,100406.0,-1289715.77572,49184.573534881805,-55416.250299999985,-6231.676765118183,995031.6472915596,994965.0442625248,62.0951124847059,2261152.858868525,85.74675890095774,0.0,0.0,995050.7910214257,775.3748291513533,2197.4447727823667,139.60215708655593,971522.8299074259,11257898.295225186
2018-03-19,1969471.852887,0.0,1969471.852887,196.9471852887,0.0,196.9471852887,598158.799953,98938.0,697096.799953,48987.626349593105,-55416.250299999985,-6428.623950406883,995050.7910214257,994853.8438361371,0.0,291569.8055551371,10.934687820171717,0.0,0.0,994864.7785239572,775.3748291513533,2208.3794606025385,139.60215708655593,988677.5401959573,9288218.560465077
2018-03-20,865996.598645,30927.0,896923.598645,86.59965986450001,3.0927000000000002,89.6923598645,-266820.55943,61341.0,-205479.55943000002,69705.56572672862,-79819.343,-10113.777273271364,994864.7785239572,991168.1140922268,11.511108865974656,1188403.1354192267,43.247030232554174,0.0,0.0,991211.3611224594,786.8859380173279,2251.6264908350927,139.60215708655593,982966.8230194593,10185009.21971998
2018-03-21,134249.7271580001,26963.0,161212.7271580001,13.424972715800012,2.6963,16.12127271580001,-400558.2117000001,29150.0,-371408.2117000001,90431.95143901277,-106195.03929999999,-15763.087860987202,991211.3611224594,985544.8810137279,17.169521015740088,1349625.818813728,48.738247892235336,0.0,0.0,985593.6192616201,804.055459033068,2300.364738727328,139.60215708655593,978266.34536162,10346157.087357372
2018-03-22,390545.3673000001,32300.0,422845.3673000001,39.05453673000001,3.23,42.28453673000001,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,985593.6192616201,991386.9052248901,0.0,991386.9052248901,42.82980695905409,0.0,0.0,991429.7350318491,804.055459033068,2343.1945456863823,139.60215708655593,991429.7350318491,9987826.605713682
2018-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991429.7350318491,991429.7350318491,0.0,991429.7350318491,45.86104928882208,0.0,0.0,991475.5960811379,804.055459033068,2389.0555949752043,139.60215708655593,991475.5960811379,9987780.744664393
2018-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991475.5960811379,991475.5960811379,0.0,991475.5960811379,46.89296876129516,0.0,0.0,991522.4890498992,804.055459033068,2435.9485637364996,139.60215708655593,991522.4890498992,9987733.851695633
2018-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991522.4890498992,991522.4890498992,0.0,991522.4890498992,45.585635736274874,0.0,0.0,991568.0746856354,804.055459033068,2481.5341994727746,139.60215708655593,991568.0746856354,9987688.266059896
2018-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991568.0746856354,991568.0746856354,0.0,991568.0746856354,44.6225713764936,0.0,0.0,991612.6972570119,804.055459033068,2526.156770849268,139.60215708655593,991612.6972570119,9987643.643488519
2018-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991612.6972570119,991612.6972570119,0.0,991612.6972570119,45.59502407977244,0.0,0.0,991658.2922810917,804.055459033068,2571.7517949290404,139.60215708655593,991658.2922810917,9987598.04846444
2018-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991658.2922810917,991658.2922810917,0.0,991658.2922810917,45.179660855482595,0.0,0.0,991703.4719419471,804.055459033068,2616.931455784523,139.60215708655593,991703.4719419471,9987552.868803583
2018-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991703.4719419471,991703.4719419471,0.0,991703.4719419471,42.976610614071625,0.0,0.0,991746.4485525612,804.055459033068,2659.9080663985947,139.60215708655593,991746.4485525612,9987509.89219297
2018-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991746.4485525612,991746.4485525612,0.0,991746.4485525612,43.80406948420142,0.0,0.0,991790.2526220455,804.055459033068,2703.7121358827962,139.60215708655593,991790.2526220455,9987466.088123485
2018-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991790.2526220455,991790.2526220455,0.0,991790.2526220455,45.120891499108474,0.0,0.0,991835.3735135446,804.055459033068,2748.8330273819047,139.60215708655593,991835.3735135446,9987420.967231987
2018-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991835.3735135446,991835.3735135446,0.0,991835.3735135446,45.46641513550316,0.0,0.0,991880.8399286801,804.055459033068,2794.299442517408,139.60215708655593,991880.8399286801,9987375.500816852
2018-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991880.8399286801,991880.8399286801,0.0,991880.8399286801,45.74094601439679,0.0,0.0,991926.5808746945,804.055459033068,2840.0403885318046,139.60215708655593,991926.5808746945,9987329.759870837
2018-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991926.5808746945,991926.5808746945,0.0,991926.5808746945,45.742000629612726,0.0,0.0,991972.3228753242,804.055459033068,2885.7823891614175,139.60215708655593,991972.3228753242,9987284.017870206
2018-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,991972.3228753242,991972.3228753242,0.0,991972.3228753242,45.467482054852965,0.0,0.0,992017.790357379,804.055459033068,2931.2498712162705,139.60215708655593,992017.790357379,9987238.550388152
2018-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,992017.790357379,992017.790357379,0.0,992017.790357379,45.75148155144063,0.0,0.0,992063.5418389305,804.055459033068,2977.001352767711,139.60215708655593,992063.5418389305,9987192.7989066
2018-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112628.46740228274,-122598.26929999999,-9969.801897717236,992063.5418389305,992063.5418389305,0.0,992063.5418389305,44.78772208952979,0.0,0.0,992108.32956102,804.055459033068,3021.789074857241,139.60215708655593,992108.32956102,9987148.011184512
